method,metric,successes,total,accuracy,wilson_95_ci_lower,wilson_95_ci_upper,wilson_95_ci_width
A0_DAF,label_correct,28414,33600,0.8456547619047619,0.8417522941976631,0.8494782018295365,0.007725907631873419
A0_DAF,order_correct,29973,33600,0.8920535714285714,0.8886906275527713,0.895326879263683,0.006636251710911756
A0_DAF,phase_correct,28758,33600,0.8558928571428571,0.8520969858422713,0.8596073599036604,0.007510374061389102
A1_MASK_ULS,label_correct,28512,33600,0.8485714285714285,0.844698701340396,0.8523644611764424,0.0076657598360463375
A1_MASK_ULS,order_correct,30021,33600,0.8934821428571429,0.8901384209998654,0.896735902056412,0.006597481056546561
A1_MASK_ULS,phase_correct,28839,33600,0.8583035714285714,0.8545337201205749,0.8619915030300584,0.007457782909483512
A2_RAW_VWLS,label_correct,28416,33600,0.8457142857142858,0.8418124200984526,0.8495371099387398,0.00772468984028718
A2_RAW_VWLS,order_correct,30011,33600,0.8931845238095238,0.8898367821577465,0.8964423708485677,0.006605588690821174
A2_RAW_VWLS,phase_correct,28750,33600,0.8556547619047619,0.8518563403043573,0.8593718694016039,0.0075155290972466204
A3_MC_VWLS,label_correct,28497,33600,0.848125,0.8442476889553093,0.8519227184865844,0.007675029531275079
A3_MC_VWLS,order_correct,30020,33600,0.893452380952381,0.8901082567534044,0.8967065492978767,0.006598292544472306
A3_MC_VWLS,phase_correct,28826,33600,0.8579166666666667,0.8541426148449627,0.8616088872407186,0.007466272395755924
