method,cn2,distance,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_achieved_occlusion
A0_DAF,1e-15,250.0,,800,1.0,1.0,1.0,0.0,0.8353968540916898,0.20017213613779838
A0_DAF,1e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.8361690981981644,0.20012048329528617
A0_DAF,1e-15,750.0,,800,1.0,1.0,1.0,0.0,0.8723287895147119,0.20009803098881435
A0_DAF,1e-15,1000.0,,1600,1.0,1.0,1.0,0.0,0.8286064497332419,0.2000669809862567
A0_DAF,2.5e-15,250.0,,800,1.0,1.0,1.0,0.0,0.8251081732557088,0.20017433280572405
A0_DAF,2.5e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.8844364334048583,0.20013330560937337
A0_DAF,2.5e-15,750.0,,800,1.0,1.0,1.0,0.0,0.9044338329975552,0.2000937105823316
A0_DAF,2.5e-15,1000.0,,1600,1.0,1.0,1.0,0.0,0.7730346663007539,0.20006789874569378
A0_DAF,5e-15,250.0,,800,1.0,1.0,1.0,0.0,0.7844845388589854,0.20015370439313154
A0_DAF,5e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.8014250808534896,0.20012490691530693
A0_DAF,5e-15,750.0,,800,1.0,1.0,1.0,0.0,0.8337738234612679,0.200093517303649
A0_DAF,5e-15,1000.0,,1600,0.97125,1.0,0.97125,0.02875,0.7023054391090703,0.20006330536067324
A0_DAF,1e-14,250.0,,800,1.0,1.0,1.0,0.0,0.893988604833498,0.20018420424186054
A0_DAF,1e-14,500.0,,1600,0.998125,1.0,0.998125,0.001875,0.7762269817465659,0.2001197870546308
A0_DAF,1e-14,750.0,,800,1.0,1.0,1.0,0.0,0.7219360793654438,0.2001042586723193
A0_DAF,1e-14,1000.0,,1600,0.990625,1.0,0.990625,0.009375,0.6833839271875956,0.20007606156098223
A0_DAF,2.5e-14,250.0,,800,1.0,1.0,1.0,0.0,0.7948743341339977,0.2001533246807633
A0_DAF,2.5e-14,500.0,,1600,0.996875,1.0,0.996875,0.003125,0.748551376052927,0.20012409376334964
A0_DAF,2.5e-14,750.0,,800,0.89,1.0,0.89,0.11,0.6437512790627686,0.2000837183681307
A0_DAF,2.5e-14,1000.0,,1600,0.6775,0.769375,0.695,0.74125,0.4031090253764836,0.20006878432736758
A0_DAF,5e-14,250.0,,800,1.0,1.0,1.0,0.0,0.7400994136671458,0.2001836401510018
A0_DAF,5e-14,500.0,,1600,0.940625,1.0,0.940625,0.059375,0.600812479967597,0.20013570355425742
A0_DAF,5e-14,750.0,,800,0.575,0.72125,0.59125,0.84875,0.3713178348699405,0.20009644666769297
A0_DAF,5e-14,1000.0,,1600,0.09625,0.241875,0.14,1.915625,0.33473502284881573,0.20006521460873583
A0_DAF,1e-13,250.0,,800,1.0,1.0,1.0,0.0,0.8179819630054874,0.20014328315854882
A0_DAF,1e-13,500.0,,1600,0.618125,0.85875,0.65625,0.47625,0.42073137805586375,0.20015648503514805
A0_DAF,1e-13,750.0,,800,0.08125,0.26375,0.11375,1.95875,0.2638823007304133,0.2000687285819286
A0_DAF,1e-13,1000.0,,1600,0.19625,0.370625,0.2875,1.313125,0.3915035572739559,0.20006253729055984
A1_MASK_ULS,1e-15,250.0,,800,1.0,1.0,1.0,0.0,0.7423303914700982,0.20017213613779838
A1_MASK_ULS,1e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.748449344258983,0.20012048329528617
A1_MASK_ULS,1e-15,750.0,,800,1.0,1.0,1.0,0.0,0.7960501854803337,0.20009803098881435
A1_MASK_ULS,1e-15,1000.0,,1600,1.0,1.0,1.0,0.0,0.7477670919698014,0.2000669809862567
A1_MASK_ULS,2.5e-15,250.0,,800,1.0,1.0,1.0,0.0,0.7385304539990287,0.20017433280572405
A1_MASK_ULS,2.5e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.8144735132997166,0.20013330560937337
A1_MASK_ULS,2.5e-15,750.0,,800,1.0,1.0,1.0,0.0,0.8220356822586143,0.2000937105823316
