method,cn2,distance,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_achieved_occlusion
A0_DAF,1e-15,250.0,0.0,160,1.0,1.0,1.0,0.0,0.9682367045784506,0.0
A0_DAF,1e-15,250.0,0.1,160,1.0,1.0,1.0,0.0,0.8475806164904818,0.10025359122987713
A0_DAF,1e-15,250.0,0.2,160,1.0,1.0,1.0,0.0,0.7698298317061997,0.20021416457066593
A0_DAF,1e-15,250.0,0.3,160,1.0,1.0,1.0,0.0,0.7618275732518633,0.30024464070832063
A0_DAF,1e-15,250.0,0.4,160,1.0,1.0,1.0,0.0,0.8295095444314544,0.40014828418012816
A0_DAF,1e-15,500.0,0.0,320,1.0,1.0,1.0,0.0,0.9556520251106312,0.0
A0_DAF,1e-15,500.0,0.1,320,1.0,1.0,1.0,0.0,0.8461263106841107,0.10019145446131875
A0_DAF,1e-15,500.0,0.2,320,1.0,1.0,1.0,0.0,0.7750491223915523,0.2001385532851045
A0_DAF,1e-15,500.0,0.3,320,1.0,1.0,1.0,0.0,0.7697745260834267,0.30013745614479326
A0_DAF,1e-15,500.0,0.4,320,1.0,1.0,1.0,0.0,0.8342435067211014,0.40013495258521453
A0_DAF,1e-15,750.0,0.0,160,1.0,1.0,1.0,0.0,0.9463273926260616,0.0
A0_DAF,1e-15,750.0,0.1,160,1.0,1.0,1.0,0.0,0.885914424746004,0.10011495819683122
A0_DAF,1e-15,750.0,0.2,160,1.0,1.0,1.0,0.0,0.8369033650689957,0.20012636752805668
A0_DAF,1e-15,750.0,0.3,160,1.0,1.0,1.0,0.0,0.8323110047921544,0.3001330714122149
A0_DAF,1e-15,750.0,0.4,160,1.0,1.0,1.0,0.0,0.8601877603403434,0.40011575780696884
A0_DAF,1e-15,1000.0,0.0,320,1.0,1.0,1.0,0.0,0.9399665597020771,0.0
A0_DAF,1e-15,1000.0,0.1,320,1.0,1.0,1.0,0.0,0.8570147713969323,0.10011263561141978
A0_DAF,1e-15,1000.0,0.2,320,1.0,1.0,1.0,0.0,0.7747635336776818,0.20008550887919602
A0_DAF,1e-15,1000.0,0.3,320,1.0,1.0,1.0,0.0,0.757663172639725,0.30007919634518954
A0_DAF,1e-15,1000.0,0.4,320,1.0,1.0,1.0,0.0,0.8136242112497936,0.4000575640954782
A0_DAF,2.5e-15,250.0,0.0,160,1.0,1.0,1.0,0.0,0.9378682783794338,0.0
A0_DAF,2.5e-15,250.0,0.1,160,1.0,1.0,1.0,0.0,0.8344002649548777,0.10021763469225478
A0_DAF,2.5e-15,250.0,0.2,160,1.0,1.0,1.0,0.0,0.7646211457485641,0.20022618251377616
A0_DAF,2.5e-15,250.0,0.3,160,1.0,1.0,1.0,0.0,0.763814643648993,0.3002079230830121
A0_DAF,2.5e-15,250.0,0.4,160,1.0,1.0,1.0,0.0,0.8248365335466759,0.40021992373957715
A0_DAF,2.5e-15,500.0,0.0,320,1.0,1.0,1.0,0.0,0.8880926330928837,0.0
A0_DAF,2.5e-15,500.0,0.1,320,1.0,1.0,1.0,0.0,0.8909445565506289,0.10018982961183513
A0_DAF,2.5e-15,500.0,0.2,320,1.0,1.0,1.0,0.0,0.8806165828228547,0.20015356291159328
A0_DAF,2.5e-15,500.0,0.3,320,1.0,1.0,1.0,0.0,0.8782218418895857,0.3001660528964817
A0_DAF,2.5e-15,500.0,0.4,320,1.0,1.0,1.0,0.0,0.8843065526683389,0.40015708262695676
A0_DAF,2.5e-15,750.0,0.0,160,1.0,1.0,1.0,0.0,0.9153545202890694,0.0
A0_DAF,2.5e-15,750.0,0.1,160,1.0,1.0,1.0,0.0,0.9104595032051961,0.10007496795095686
A0_DAF,2.5e-15,750.0,0.2,160,1.0,1.0,1.0,0.0,0.9018846969830353,0.20010807003570458
A0_DAF,2.5e-15,750.0,0.3,160,1.0,1.0,1.0,0.0,0.8998025747066245,0.30014081606320325
A0_DAF,2.5e-15,750.0,0.4,160,1.0,1.0,1.0,0.0,0.8946678698038507,0.4001446988617932
A0_DAF,2.5e-15,1000.0,0.0,320,1.0,1.0,1.0,0.0,0.8624146722712147,0.0
A0_DAF,2.5e-15,1000.0,0.1,320,1.0,1.0,1.0,0.0,0.7979767187672033,0.10009158838275015
A0_DAF,2.5e-15,1000.0,0.2,320,1.0,1.0,1.0,0.0,0.7171417728658243,0.20007879814409604
A0_DAF,2.5e-15,1000.0,0.3,320,1.0,1.0,1.0,0.0,0.7105196201670376,0.30009200845354267
A0_DAF,2.5e-15,1000.0,0.4,320,1.0,1.0,1.0,0.0,0.7771205474324892,0.40007709874808006
A0_DAF,5e-15,250.0,0.0,160,1.0,1.0,1.0,0.0,0.9205365974884883,0.0
A0_DAF,5e-15,250.0,0.1,160,1.0,1.0,1.0,0.0,0.7995358317008515,0.10022191630121888
A0_DAF,5e-15,250.0,0.2,160,1.0,1.0,1.0,0.0,0.710097127362461,0.2001505620679298
A0_DAF,5e-15,250.0,0.3,160,1.0,1.0,1.0,0.0,0.7042055936671094,0.30021104980501523
A0_DAF,5e-15,250.0,0.4,160,1.0,1.0,1.0,0.0,0.7880475440760166,0.40018499379149397
A0_DAF,5e-15,500.0,0.0,320,1.0,1.0,1.0,0.0,0.8765163210607814,0.0
A0_DAF,5e-15,500.0,0.1,320,1.0,1.0,1.0,0.0,0.8211849026500545,0.1001756083998839
A0_DAF,5e-15,500.0,0.2,320,1.0,1.0,1.0,0.0,0.7620153557203796,0.20017544268240126
A0_DAF,5e-15,500.0,0.3,320,1.0,1.0,1.0,0.0,0.7510366829676999,0.30012221775990283
A0_DAF,5e-15,500.0,0.4,320,1.0,1.0,1.0,0.0,0.7963721418685329,0.4001512657343465
A0_DAF,5e-15,750.0,0.0,160,1.0,1.0,1.0,0.0,0.911163745732264,0.0
A0_DAF,5e-15,750.0,0.1,160,1.0,1.0,1.0,0.0,0.8410443838714261,0.10011664414316612
A0_DAF,5e-15,750.0,0.2,160,1.0,1.0,1.0,0.0,0.7954269239004683,0.20014996839714505
A0_DAF,5e-15,750.0,0.3,160,1.0,1.0,1.0,0.0,0.7919209248448524,0.3000849897001537
A0_DAF,5e-15,750.0,0.4,160,1.0,1.0,1.0,0.0,0.8293131389573285,0.40011598427778006
A0_DAF,5e-15,1000.0,0.0,320,1.0,1.0,1.0,0.0,0.759079821174163,0.0
A0_DAF,5e-15,1000.0,0.1,320,1.0,1.0,1.0,0.0,0.7446356003479317,0.1000828536518545
A0_DAF,5e-15,1000.0,0.2,320,0.984375,1.0,0.984375,0.015625,0.6838312710535123,0.20008029922465545
A0_DAF,5e-15,1000.0,0.3,320,0.9625,1.0,0.9625,0.0375,0.6562600160613113,0.3000717603632508
