category,relative_path,description,required,exists,is_file,status,size_bytes,size_display,csv_data_rows,modified_time,sha256
additional,results/csv/ablation_accuracy_confidence_intervals.csv,Additional generated experiment output,0,1,1,PASS,1473,1.438 KiB,12,2026-08-04T19:43:10,f6904509613ccd627c54fde061337791afd1487556efba9f7510a8eeb9762e28
additional,results/csv/ablation_by_cn2_distance.csv,Additional generated experiment output,0,1,1,PASS,10340,10.098 KiB,112,2026-08-04T19:41:15,8d92423707e8605d11261fcf23536d60875c654b8cb2f5dd49be0ad6d3acd89f
additional,results/csv/ablation_by_cn2_distance_occlusion.csv,Additional generated experiment output,0,1,1,PASS,49572,48.410 KiB,560,2026-08-04T19:41:15,08798952384af2ad689f2053ff474f6bf9de34d94c93f0bb97451877ee41c8e6
additional,results/csv/ablation_pairwise_statistics.csv,Additional generated experiment output,0,1,1,PASS,4769,4.657 KiB,18,2026-08-04T19:43:10,f09c25d7bbd69bfcff18e8408dfa9fc00ed39d4463b51176faf7d39da5c4ac12
additional,results/csv/mc_vwls_confusion_pattern_summary.csv,Additional generated experiment output,0,1,1,PASS,1734,1.693 KiB,42,2026-08-04T20:04:40,1e30dc59322b2480ebfd0989971e8df0551b75ef597ec7372f886ea8646a88be
additional,results/csv/mc_vwls_error_types_by_cn2.csv,Additional generated experiment output,0,1,1,PASS,1671,1.632 KiB,7,2026-08-04T20:08:48,2f65fe6ab0694c7c8bd18611f854f3de16a787fa9feb6f93b4e64e1e3f43d7fc
additional,results/csv/mc_vwls_error_types_by_cn2_distance.csv,Additional generated experiment output,0,1,1,PASS,3914,3.822 KiB,28,2026-08-04T20:08:48,5939be8a921a650c7bf7b3b3d09ec3bb3119b635512a603c1f363e6f274cca3b
additional,results/csv/mc_vwls_error_types_by_distance.csv,Additional generated experiment output,0,1,1,PASS,1321,1.290 KiB,4,2026-08-04T20:08:48,742524bed8a2bed3c0c179c94922c5ed878b1b918647151df0721b5354c44849
additional,results/csv/mc_vwls_error_types_by_occlusion.csv,Additional generated experiment output,0,1,1,PASS,1652,1.613 KiB,5,2026-08-04T20:08:48,4a33acdfb754db7e58a362f61b43ab546599e4219ab3157df98276adbfbbd22a
additional,results/csv/mc_vwls_error_types_by_snr.csv,Additional generated experiment output,0,1,1,PASS,1612,1.574 KiB,5,2026-08-04T20:08:48,8b8fdfed8640a2a65e7e7bc031c193476bcc295032ed0359441f453f2ea79ef9
additional,results/csv/mc_vwls_full_test_predictions.csv,Additional generated experiment output,0,1,1,PASS,6136012,5.852 MiB,33600,2026-08-04T18:20:43,b79d2fb9300f5312553572d9337397419620d2e2f56e049b722971deb881ddcd
