true_class,"l=1,p=0","l=1,p=1","l=1,p=2","l=1,p=3","l=1,p=4","l=1,p=5","l=1,p=6","l=1,p=7","l=2,p=0","l=2,p=1","l=2,p=2","l=2,p=3","l=2,p=4","l=2,p=5","l=2,p=6","l=2,p=7","l=3,p=0","l=3,p=1","l=3,p=2","l=3,p=3","l=3,p=4","l=3,p=5","l=3,p=6","l=3,p=7","l=4,p=0","l=4,p=1","l=4,p=2","l=4,p=3","l=4,p=4","l=4,p=5","l=4,p=6","l=4,p=7"
"l=1,p=0",875,44,0,0,4,15,0,8,0,0,6,0,52,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=1,p=1",0,854,109,36,1,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=1,p=2",0,0,899,105,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=1,p=3",0,0,6,1009,19,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=1,p=4",0,0,0,59,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=1,p=5",0,0,0,0,173,850,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=1,p=6",0,0,0,0,35,133,842,15,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=1,p=7",28,0,0,0,3,20,73,877,5,10,19,5,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=2,p=0",0,0,0,45,10,0,0,0,929,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=2,p=1",0,0,5,53,27,0,0,0,47,873,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=2,p=2",0,0,3,36,100,0,0,0,0,10,884,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l=2,p=3",0,0,0,15,114,8,0,0,0,0,0,857,28,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,4,0,0
"l=2,p=4",0,0,0,0,83,0,0,0,0,0,0,0,860,47,0,0,0,0,50,0,0,0,10,0,0,0,0,0,0,0,0,0
"l=2,p=5",0,0,0,0,54,0,0,0,0,0,0,0,0,875,70,0,0,1,0,49,0,0,0,1,0,0,0,0,0,0,0,0
"l=2,p=6",0,0,0,0,43,0,0,0,0,0,0,0,0,0,943,18,0,0,11,35,0,0,0,0,0,0,0,0,0,0,0,0
"l=2,p=7",0,0,0,4,35,0,0,0,0,0,0,0,0,0,33,963,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"l=3,p=0",0,0,10,16,48,29,0,0,3,0,0,0,0,4,0,0,884,12,0,0,0,0,0,4,0,0,0,6,18,11,5,0
"l=3,p=1",0,0,1,5,54,22,0,0,0,0,1,3,0,28,0,0,0,890,16,0,0,0,0,0,0,0,0,0,0,30,0,0
"l=3,p=2",0,0,0,4,50,8,0,0,0,0,0,15,0,33,9,0,0,0,890,10,0,0,0,0,0,0,0,0,0,0,31,0
"l=3,p=3",0,0,0,0,52,0,0,0,0,0,0,0,15,0,50,0,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,25
"l=3,p=4",0,8,1,0,43,0,0,0,0,0,0,0,0,5,50,0,0,0,0,3,908,0,0,0,32,0,0,0,0,0,0,0
"l=3,p=5",0,8,1,0,43,0,0,0,0,1,0,0,0,0,11,40,0,0,0,0,15,899,0,0,0,31,1,0,0,0,0,0
"l=3,p=6",0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,15,898,3,0,10,16,0,0,0,0,0
"l=3,p=7",0,0,1,7,74,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,10,0,18,887,0,0,9,11,7,18,0,0
"l=4,p=0",0,0,0,0,62,6,0,0,0,0,1,0,0,5,6,0,20,0,50,0,0,0,0,0,879,9,0,0,0,0,0,12
"l=4,p=1",0,0,0,0,69,2,0,0,0,0,0,3,7,0,4,0,0,0,4,50,0,0,0,0,14,878,19,0,0,0,0,0
"l=4,p=2",0,0,0,0,78,0,0,0,0,0,0,0,12,0,33,0,0,0,0,18,13,0,6,0,0,2,869,19,0,0,0,0
"l=4,p=3",0,0,0,1,83,0,0,0,0,0,0,0,0,10,32,0,0,0,0,11,11,0,20,4,0,0,10,860,8,0,0,0
"l=4,p=4",0,0,0,5,88,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,19,3,7,43,0,0,0,5,860,5,0,0
"l=4,p=5",0,4,0,0,82,8,0,0,0,0,0,0,0,0,6,0,46,0,0,0,0,5,19,10,0,0,0,0,0,862,8,0
"l=4,p=6",2,8,0,0,63,10,0,0,0,0,0,0,0,1,0,0,9,43,0,0,0,0,1,29,0,0,0,0,0,5,871,8
"l=4,p=7",0,3,0,0,56,13,0,0,0,0,0,0,0,12,0,0,0,7,39,0,0,0,0,27,10,0,0,0,0,0,10,873
