true_class,"l=1,p=0","l=1,p=1","l=1,p=2","l=1,p=3","l=1,p=4","l=1,p=5","l=1,p=6","l=1,p=7","l=2,p=0","l=2,p=1","l=2,p=2","l=2,p=3","l=2,p=4","l=2,p=5","l=2,p=6","l=2,p=7","l=3,p=0","l=3,p=1","l=3,p=2","l=3,p=3","l=3,p=4","l=3,p=5","l=3,p=6","l=3,p=7","l=4,p=0","l=4,p=1","l=4,p=2","l=4,p=3","l=4,p=4","l=4,p=5","l=4,p=6","l=4,p=7"
"l=1,p=0",0.83333333,0.04190476,0.00000000,0.00000000,0.00380952,0.01428571,0.00000000,0.00761905,0.00000000,0.00000000,0.00571429,0.00000000,0.04952381,0.00000000,0.04380952,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=1,p=1",0.00000000,0.81333333,0.10380952,0.03428571,0.00095238,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00380952,0.04380952,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=1,p=2",0.00000000,0.00000000,0.85619048,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04380952,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=1,p=3",0.00000000,0.00000000,0.00571429,0.96095238,0.01809524,0.00000000,0.00000000,0.00000000,0.01523810,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=1,p=4",0.00000000,0.00000000,0.00000000,0.05619048,0.94380952,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=1,p=5",0.00000000,0.00000000,0.00000000,0.00000000,0.16476190,0.80952381,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02571429,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=1,p=6",0.00000000,0.00000000,0.00000000,0.00000000,0.03333333,0.12666667,0.80190476,0.01428571,0.00761905,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01619048,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=1,p=7",0.02666667,0.00000000,0.00000000,0.00000000,0.00285714,0.01904762,0.06952381,0.83523810,0.00476190,0.00952381,0.01809524,0.00476190,0.00000000,0.00190476,0.00761905,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=2,p=0",0.00000000,0.00000000,0.00000000,0.04285714,0.00952381,0.00000000,0.00000000,0.00000000,0.88476190,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=2,p=1",0.00000000,0.00000000,0.00476190,0.05047619,0.02571429,0.00000000,0.00000000,0.00000000,0.04476190,0.83142857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=2,p=2",0.00000000,0.00000000,0.00285714,0.03428571,0.09523810,0.00000000,0.00000000,0.00000000,0.00000000,0.00952381,0.84190476,0.00000000,0.00000000,0.00000000,0.00000000,0.01619048,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=2,p=3",0.00000000,0.00000000,0.00000000,0.01428571,0.10857143,0.00761905,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81619048,0.02666667,0.00000000,0.00000000,0.00000000,0.00000000,0.01333333,0.00952381,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00380952,0.00000000,0.00000000
"l=2,p=4",0.00000000,0.00000000,0.00000000,0.00000000,0.07904762,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81904762,0.04476190,0.00000000,0.00000000,0.00000000,0.00000000,0.04761905,0.00000000,0.00000000,0.00000000,0.00952381,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=2,p=5",0.00000000,0.00000000,0.00000000,0.00000000,0.05142857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83333333,0.06666667,0.00000000,0.00000000,0.00095238,0.00000000,0.04666667,0.00000000,0.00000000,0.00000000,0.00095238,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=2,p=6",0.00000000,0.00000000,0.00000000,0.00000000,0.04095238,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89809524,0.01714286,0.00000000,0.00000000,0.01047619,0.03333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=2,p=7",0.00000000,0.00000000,0.00000000,0.00380952,0.03333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03142857,0.91714286,0.00000000,0.00000000,0.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=3,p=0",0.00000000,0.00000000,0.00952381,0.01523810,0.04571429,0.02761905,0.00000000,0.00000000,0.00285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00380952,0.00000000,0.00000000,0.84190476,0.01142857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00380952,0.00000000,0.00000000,0.00000000,0.00571429,0.01714286,0.01047619,0.00476190,0.00000000
"l=3,p=1",0.00000000,0.00000000,0.00095238,0.00476190,0.05142857,0.02095238,0.00000000,0.00000000,0.00000000,0.00000000,0.00095238,0.00285714,0.00000000,0.02666667,0.00000000,0.00000000,0.00000000,0.84761905,0.01523810,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02857143,0.00000000,0.00000000
"l=3,p=2",0.00000000,0.00000000,0.00000000,0.00380952,0.04761905,0.00761905,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01428571,0.00000000,0.03142857,0.00857143,0.00000000,0.00000000,0.00000000,0.84761905,0.00952381,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02952381,0.00000000
"l=3,p=3",0.00000000,0.00000000,0.00000000,0.00000000,0.04952381,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01428571,0.00000000,0.04761905,0.00000000,0.00000000,0.00000000,0.00000000,0.86476190,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02380952
"l=3,p=4",0.00000000,0.00761905,0.00095238,0.00000000,0.04095238,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00476190,0.04761905,0.00000000,0.00000000,0.00000000,0.00000000,0.00285714,0.86476190,0.00000000,0.00000000,0.00000000,0.03047619,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=3,p=5",0.00000000,0.00761905,0.00095238,0.00000000,0.04095238,0.00000000,0.00000000,0.00000000,0.00000000,0.00095238,0.00000000,0.00000000,0.00000000,0.00000000,0.01047619,0.03809524,0.00000000,0.00000000,0.00000000,0.00000000,0.01428571,0.85619048,0.00000000,0.00000000,0.00000000,0.02952381,0.00095238,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=3,p=6",0.00000000,0.00000000,0.00000000,0.00000000,0.05047619,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05238095,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01428571,0.85523810,0.00285714,0.00000000,0.00952381,0.01523810,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=3,p=7",0.00000000,0.00000000,0.00095238,0.00666667,0.07047619,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00190476,0.00571429,0.00000000,0.00000000,0.00000000,0.00952381,0.00000000,0.01714286,0.84476190,0.00000000,0.00000000,0.00857143,0.01047619,0.00666667,0.01714286,0.00000000,0.00000000
"l=4,p=0",0.00000000,0.00000000,0.00000000,0.00000000,0.05904762,0.00571429,0.00000000,0.00000000,0.00000000,0.00000000,0.00095238,0.00000000,0.00000000,0.00476190,0.00571429,0.00000000,0.01904762,0.00000000,0.04761905,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83714286,0.00857143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01142857
"l=4,p=1",0.00000000,0.00000000,0.00000000,0.00000000,0.06571429,0.00190476,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00285714,0.00666667,0.00000000,0.00380952,0.00000000,0.00000000,0.00000000,0.00380952,0.04761905,0.00000000,0.00000000,0.00000000,0.00000000,0.01333333,0.83619048,0.01809524,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
"l=4,p=2",0.00000000,0.00000000,0.00000000,0.00000000,0.07428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01142857,0.00000000,0.03142857,0.00000000,0.00000000,0.00000000,0.00000000,0.01714286,0.01238095,0.00000000,0.00571429,0.00000000,0.00000000,0.00190476,0.82761905,0.01809524,0.00000000,0.00000000,0.00000000,0.00000000
