scope,item,value
global,total_observations,33600
global,correct_observations,28497
global,error_observations,5103
global,overall_accuracy,0.84812500
global,same_order_error_count,1523
global,same_order_error_fraction_of_all_errors,0.29845189
global,cross_order_error_count,3580
global,cross_order_error_fraction_of_all_errors,0.70154811
global,adjacent_phase_error_count,2069
global,adjacent_phase_error_fraction_of_all_errors,0.40544778
global,nonadjacent_phase_error_count,3034
global,nonadjacent_phase_error_fraction_of_all_errors,0.59455222
global,same_order_adjacent_phase_error_count,1337
global,same_order_adjacent_phase_error_fraction_of_all_errors,0.26200274
oam_order_1,sample_count,8400
oam_order_1,label_correct_count,7197
oam_order_1,label_accuracy,0.85678571
oam_order_1,order_correct_count,8083
oam_order_1,order_accuracy,0.96226190
oam_order_1,phase_correct_count,7197
oam_order_1,phase_accuracy,0.85678571
oam_order_2,sample_count,8400
oam_order_2,label_correct_count,7184
oam_order_2,label_accuracy,0.85523810
oam_order_2,order_correct_count,7565
oam_order_2,order_accuracy,0.90059524
oam_order_2,phase_correct_count,7285
oam_order_2,phase_accuracy,0.86726190
oam_order_3,sample_count,8400
oam_order_3,label_correct_count,7164
oam_order_3,label_accuracy,0.85285714
oam_order_3,order_correct_count,7276
oam_order_3,order_accuracy,0.86619048
oam_order_3,phase_correct_count,7212
oam_order_3,phase_accuracy,0.85857143
oam_order_4,sample_count,8400
oam_order_4,label_correct_count,6952
oam_order_4,label_accuracy,0.82761905
oam_order_4,order_correct_count,7096
oam_order_4,order_accuracy,0.84476190
oam_order_4,phase_correct_count,7132
oam_order_4,phase_accuracy,0.84904762
