cn2,distance,sample_count,correct_count,error_count,same_order_error_count,cross_order_error_count,adjacent_phase_error_count,same_order_adjacent_phase_error_count,phase_only_error_count,order_only_error_count,order_and_phase_error_count,label_accuracy,error_rate,same_order_error_fraction_of_errors,cross_order_error_fraction_of_errors,adjacent_phase_error_fraction_of_errors,same_order_adjacent_phase_error_fraction_of_errors,phase_only_error_fraction_of_errors,order_only_error_fraction_of_errors,order_and_phase_error_fraction_of_errors
1.0000000036274937e-15,250.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
1.0000000036274937e-15,500.0,1600,1600,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
1.0000000036274937e-15,750.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
1.0000000036274937e-15,1000.0,1600,1600,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
2.499999956129175e-15,250.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
2.499999956129175e-15,500.0,1600,1600,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
2.499999956129175e-15,750.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
2.499999956129175e-15,1000.0,1600,1600,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
4.99999991225835e-15,250.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
4.99999991225835e-15,500.0,1600,1600,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
4.99999991225835e-15,750.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
4.99999991225835e-15,1000.0,1600,1565,35,35,0,35,35,35,0,0,0.978125,0.021875,1.0,0.0,1.0,1.0,1.0,0.0,0.0
9.9999998245167e-15,250.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
9.9999998245167e-15,500.0,1600,1599,1,1,0,1,1,1,0,0,0.999375,0.000625,1.0,0.0,1.0,1.0,1.0,0.0,0.0
9.9999998245167e-15,750.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
9.9999998245167e-15,1000.0,1600,1587,13,13,0,13,13,13,0,0,0.991875,0.008125,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2.499999956129175e-14,250.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
2.499999956129175e-14,500.0,1600,1595,5,5,0,5,5,5,0,0,0.996875,0.003125,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2.499999956129175e-14,750.0,800,724,76,76,0,76,76,76,0,0,0.905,0.095,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2.499999956129175e-14,1000.0,1600,1086,514,151,363,205,151,151,28,335,0.67875,0.32125,0.29377431906614787,0.7062256809338522,0.39883268482490275,0.29377431906614787,0.29377431906614787,0.054474708171206226,0.6517509727626459
4.99999991225835e-14,250.0,800,799,1,1,0,1,1,1,0,0,0.99875,0.00125,1.0,0.0,1.0,1.0,1.0,0.0,0.0
4.99999991225835e-14,500.0,1600,1503,97,97,0,97,97,97,0,0,0.939375,0.060625,1.0,0.0,1.0,1.0,1.0,0.0,0.0
4.99999991225835e-14,750.0,800,537,263,112,151,114,112,112,0,151,0.67125,0.32875,0.42585551330798477,0.5741444866920152,0.43346007604562736,0.42585551330798477,0.42585551330798477,0.0,0.5741444866920152
4.99999991225835e-14,1000.0,1600,141,1459,222,1237,368,167,222,69,1168,0.088125,0.911875,0.15215901302261822,0.8478409869773817,0.25222755311857437,0.11446196024674435,0.15215901302261822,0.047292666209732694,0.800548320767649
9.9999998245167e-14,250.0,800,800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
9.9999998245167e-14,500.0,1600,991,609,382,227,455,382,382,54,173,0.619375,0.380625,0.6272577996715928,0.3727422003284072,0.7471264367816092,0.6272577996715928,0.6272577996715928,0.08866995073891626,0.28407224958949095
9.9999998245167e-14,750.0,800,62,738,150,588,180,107,150,28,560,0.0775,0.9225,0.2032520325203252,0.7967479674796748,0.24390243902439024,0.14498644986449866,0.2032520325203252,0.037940379403794036,0.7588075880758808
9.9999998245167e-14,1000.0,1600,308,1292,278,1014,519,190,278,150,864,0.1925,0.8075,0.21517027863777088,0.7848297213622291,0.40170278637770895,0.14705882352941177,0.21517027863777088,0.11609907120743033,0.6687306501547987
