true_class,predicted_class,true_order,true_phase_bin,predicted_order,predicted_phase_bin,phase_bin_distance,same_order,count,fraction_of_true_class
"l=1,p=5","l=1,p=4",1,5,1,4,1,1,173,0.16476190476190475
"l=1,p=6","l=1,p=5",1,6,1,5,1,1,133,0.12666666666666668
"l=2,p=3","l=1,p=4",2,3,1,4,1,0,114,0.10857142857142857
"l=1,p=1","l=1,p=2",1,1,1,2,1,1,109,0.10380952380952381
"l=1,p=2","l=1,p=3",1,2,1,3,1,1,105,0.1
"l=2,p=2","l=1,p=4",2,2,1,4,2,0,100,0.09523809523809523
"l=4,p=4","l=1,p=4",4,4,1,4,0,0,88,0.0838095238095238
"l=2,p=4","l=1,p=4",2,4,1,4,0,0,83,0.07904761904761905
"l=4,p=3","l=1,p=4",4,3,1,4,1,0,83,0.07904761904761905
"l=4,p=5","l=1,p=4",4,5,1,4,1,0,82,0.07809523809523809
"l=4,p=2","l=1,p=4",4,2,1,4,2,0,78,0.07428571428571429
"l=3,p=7","l=1,p=4",3,7,1,4,3,0,74,0.07047619047619047
"l=1,p=7","l=1,p=6",1,7,1,6,1,1,73,0.06952380952380953
"l=2,p=5","l=2,p=6",2,5,2,6,1,1,70,0.06666666666666667
"l=4,p=1","l=1,p=4",4,1,1,4,3,0,69,0.06571428571428571
"l=2,p=0","l=2,p=7",2,0,2,7,1,1,66,0.06285714285714286
"l=4,p=6","l=1,p=4",4,6,1,4,2,0,63,0.06
"l=4,p=0","l=1,p=4",4,0,1,4,4,0,62,0.05904761904761905
"l=1,p=4","l=1,p=3",1,4,1,3,1,1,59,0.05619047619047619
"l=4,p=7","l=1,p=4",4,7,1,4,3,0,56,0.05333333333333334
