method,scope,target_snr_db,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence
DAF,overall,,,33600,0.8456547619047619,0.8920535714285714,0.8558928571428571,0.2860714285714286,0.6827004679539851
DAF,snr,20.0,,6720,0.8467261904761905,0.8915178571428571,0.8569940476190476,0.28422619047619047,0.6846307489094672
DAF,snr,15.0,,6720,0.846577380952381,0.8916666666666667,0.8566964285714286,0.2837797619047619,0.684379649741089
DAF,snr,10.0,,6720,0.8455357142857143,0.8916666666666667,0.8558035714285714,0.28541666666666665,0.6836576614936449
DAF,snr,5.0,,6720,0.8458333333333333,0.8924107142857143,0.8558035714285714,0.28616071428571427,0.6823309261388701
DAF,snr,0.0,,6720,0.8436011904761904,0.8930059523809524,0.8541666666666666,0.29077380952380955,0.678503353486855
DAF,occlusion,,0.0,6720,0.8651785714285715,0.8941964285714286,0.8727678571428571,0.272172619047619,0.7416546226922415
DAF,occlusion,,0.1,6720,0.8581845238095238,0.8950892857142857,0.8662202380952381,0.2805059523809524,0.6983357686804433
DAF,occlusion,,0.2,6720,0.8483630952380953,0.8886904761904761,0.8586309523809523,0.2864583333333333,0.6529663040954866
DAF,occlusion,,0.3,6720,0.8349702380952381,0.8888392857142857,0.8474702380952381,0.2863095238095238,0.6451027663991113
DAF,occlusion,,0.4,6720,0.821577380952381,0.893452380952381,0.834375,0.3049107142857143,0.6754428779026436
DAF,snr_occlusion,20.0,0.0,1344,0.8653273809523809,0.8936011904761905,0.8727678571428571,0.27157738095238093,0.7450617122273657
DAF,snr_occlusion,20.0,0.1,1344,0.8586309523809523,0.8943452380952381,0.8675595238095238,0.2760416666666667,0.7002992438533495
DAF,snr_occlusion,20.0,0.2,1344,0.8489583333333334,0.8876488095238095,0.859375,0.2849702380952381,0.6548365051221013
DAF,snr_occlusion,20.0,0.3,1344,0.8363095238095238,0.8883928571428571,0.8482142857142857,0.28422619047619047,0.6463407357076674
DAF,snr_occlusion,20.0,0.4,1344,0.8244047619047619,0.8936011904761905,0.8370535714285714,0.30431547619047616,0.6766155476368516
DAF,snr_occlusion,15.0,0.0,1344,0.8653273809523809,0.8936011904761905,0.8720238095238095,0.27232142857142855,0.7448204080175176
DAF,snr_occlusion,15.0,0.1,1344,0.859375,0.8950892857142857,0.8683035714285714,0.27455357142857145,0.6998744387349674
DAF,snr_occlusion,15.0,0.2,1344,0.8482142857142857,0.8876488095238095,0.8586309523809523,0.2857142857142857,0.6546457683273734
DAF,snr_occlusion,15.0,0.3,1344,0.8363095238095238,0.8883928571428571,0.8482142857142857,0.28422619047619047,0.645829839727089
DAF,snr_occlusion,15.0,0.4,1344,0.8236607142857143,0.8936011904761905,0.8363095238095238,0.3020833333333333,0.6767277938984974
DAF,snr_occlusion,10.0,0.0,1344,0.8653273809523809,0.8943452380952381,0.8720238095238095,0.27157738095238093,0.7431255280813435
DAF,snr_occlusion,10.0,0.1,1344,0.8571428571428571,0.8950892857142857,0.8660714285714286,0.27976190476190477,0.6992562144859837
DAF,snr_occlusion,10.0,0.2,1344,0.8482142857142857,0.8883928571428571,0.8578869047619048,0.28794642857142855,0.6535755555618452
DAF,snr_occlusion,10.0,0.3,1344,0.8355654761904762,0.8876488095238095,0.8482142857142857,0.2857142857142857,0.646249783947081
DAF,snr_occlusion,10.0,0.4,1344,0.8214285714285714,0.8928571428571429,0.8348214285714286,0.3020833333333333,0.6760812253919711
DAF,snr_occlusion,5.0,0.0,1344,0.8645833333333334,0.8950892857142857,0.8720238095238095,0.27232142857142855,0.7410381458782032
DAF,snr_occlusion,5.0,0.1,1344,0.859375,0.8958333333333334,0.8660714285714286,0.27976190476190477,0.697889415325704
DAF,snr_occlusion,5.0,0.2,1344,0.8482142857142857,0.8876488095238095,0.859375,0.28720238095238093,0.6529605010684721
DAF,snr_occlusion,5.0,0.3,1344,0.8348214285714286,0.8891369047619048,0.8474702380952381,0.28943452380952384,0.644672416937483
DAF,snr_occlusion,5.0,0.4,1344,0.8221726190476191,0.8943452380952381,0.8340773809523809,0.3020833333333333,0.6750941514844885
DAF,snr_occlusion,0.0,0.0,1344,0.8653273809523809,0.8943452380952381,0.875,0.27306547619047616,0.7342273192567779
DAF,snr_occlusion,0.0,0.1,1344,0.8563988095238095,0.8950892857142857,0.8630952380952381,0.2924107142857143,0.6943595310022113
DAF,snr_occlusion,0.0,0.2,1344,0.8482142857142857,0.8921130952380952,0.8578869047619048,0.2864583333333333,0.6488131903976407
DAF,snr_occlusion,0.0,0.3,1344,0.8318452380952381,0.890625,0.8452380952380952,0.28794642857142855,0.6424210556762369
DAF,snr_occlusion,0.0,0.4,1344,0.8162202380952381,0.8928571428571429,0.8296130952380952,0.31398809523809523,0.6726956711014086
ULS,overall,,,33600,0.8485714285714285,0.8934821428571429,0.8583035714285714,0.2830357142857143,0.588666151078176
ULS,snr,20.0,,6720,0.8488095238095238,0.8925595238095239,0.8586309523809523,0.28214285714285714,0.5950006317507788
ULS,snr,15.0,,6720,0.8497023809523809,0.8933035714285714,0.8592261904761904,0.28125,0.5950572317278986
ULS,snr,10.0,,6720,0.8483630952380953,0.8936011904761905,0.8583333333333333,0.28407738095238094,0.5941294178758755
ULS,snr,5.0,,6720,0.8494047619047619,0.8947916666666667,0.8587797619047619,0.28154761904761905,0.5890405436880664
ULS,snr,0.0,,6720,0.846577380952381,0.893154761904762,0.856547619047619,0.28616071428571427,0.5701029303482607
ULS,occlusion,,0.0,6720,0.8651785714285715,0.8941964285714286,0.8727678571428571,0.272172619047619,0.7029118355918516
ULS,occlusion,,0.1,6720,0.8589285714285714,0.8961309523809524,0.8668154761904762,0.28020833333333334,0.6568021685340809
ULS,occlusion,,0.2,6720,0.8508928571428571,0.8912202380952381,0.8605654761904762,0.28482142857142856,0.5763166996388972
ULS,occlusion,,0.3,6720,0.8394345238095238,0.8900297619047619,0.8505952380952381,0.28526785714285713,0.5170903801406548
ULS,occlusion,,0.4,6720,0.828422619047619,0.8958333333333334,0.8407738095238095,0.29270833333333335,0.4902096714853956
ULS,snr_occlusion,20.0,0.0,1344,0.8653273809523809,0.8936011904761905,0.8727678571428571,0.27157738095238093,0.7196039258900517
ULS,snr_occlusion,20.0,0.1,1344,0.8586309523809523,0.8950892857142857,0.8675595238095238,0.27529761904761907,0.6685079800622533
ULS,snr_occlusion,20.0,0.2,1344,0.8497023809523809,0.8898809523809523,0.859375,0.28720238095238093,0.581257951604171
ULS,snr_occlusion,20.0,0.3,1344,0.8385416666666666,0.8891369047619048,0.8497023809523809,0.2864583333333333,0.5170496422822696
ULS,snr_occlusion,20.0,0.4,1344,0.8318452380952381,0.8950892857142857,0.84375,0.29017857142857145,0.4885836589151483
ULS,snr_occlusion,15.0,0.0,1344,0.8653273809523809,0.8936011904761905,0.8720238095238095,0.27232142857142855,0.7180673962540438
ULS,snr_occlusion,15.0,0.1,1344,0.8608630952380952,0.8965773809523809,0.8690476190476191,0.2760416666666667,0.6677691432036807
ULS,snr_occlusion,15.0,0.2,1344,0.8511904761904762,0.8913690476190477,0.8608630952380952,0.2849702380952381,0.5817911271243165
ULS,snr_occlusion,15.0,0.3,1344,0.8385416666666666,0.8891369047619048,0.8497023809523809,0.2849702380952381,0.5176804445341974
ULS,snr_occlusion,15.0,0.4,1344,0.8325892857142857,0.8958333333333334,0.8444940476190477,0.28794642857142855,0.48997804752325425
ULS,snr_occlusion,10.0,0.0,1344,0.8653273809523809,0.8943452380952381,0.8720238095238095,0.27157738095238093,0.713218704398404
ULS,snr_occlusion,10.0,0.1,1344,0.8601190476190477,0.8973214285714286,0.8683035714285714,0.27901785714285715,0.6653045775596222
