Method,Cn2,Accuracy at distance 250,Accuracy at distance 500,Accuracy at distance 750,Accuracy at distance 1000
DAF,1.000e-15,1.00000000,1.00000000,1.00000000,1.00000000
DAF,2.500e-15,1.00000000,1.00000000,1.00000000,1.00000000
DAF,5.000e-15,1.00000000,1.00000000,1.00000000,0.97125000
DAF,1.000e-14,1.00000000,0.99812500,1.00000000,0.99062500
DAF,2.500e-14,1.00000000,0.99687500,0.89000000,0.67750000
DAF,5.000e-14,1.00000000,0.94062500,0.57500000,0.09625000
DAF,1.000e-13,1.00000000,0.61812500,0.08125000,0.19625000
Mask-ULS,1.000e-15,1.00000000,1.00000000,1.00000000,1.00000000
Mask-ULS,2.500e-15,1.00000000,1.00000000,1.00000000,1.00000000
Mask-ULS,5.000e-15,1.00000000,1.00000000,1.00000000,0.97937500
Mask-ULS,1.000e-14,1.00000000,0.99937500,1.00000000,0.99187500
Mask-ULS,2.500e-14,1.00000000,0.99687500,0.91375000,0.68000000
Mask-ULS,5.000e-14,0.99875000,0.93875000,0.65625000,0.08687500
Mask-ULS,1.000e-13,1.00000000,0.63125000,0.07625000,0.19312500
Raw-VWLS,1.000e-15,1.00000000,1.00000000,1.00000000,1.00000000
Raw-VWLS,2.500e-15,1.00000000,1.00000000,1.00000000,1.00000000
Raw-VWLS,5.000e-15,1.00000000,1.00000000,1.00000000,0.96812500
Raw-VWLS,1.000e-14,1.00000000,0.99812500,1.00000000,0.99062500
Raw-VWLS,2.500e-14,1.00000000,0.99625000,0.87875000,0.67625000
Raw-VWLS,5.000e-14,1.00000000,0.94062500,0.62000000,0.09375000
Raw-VWLS,1.000e-13,1.00000000,0.61062500,0.08125000,0.19562500
MC-VWLS,1.000e-15,1.00000000,1.00000000,1.00000000,1.00000000
MC-VWLS,2.500e-15,1.00000000,1.00000000,1.00000000,1.00000000
MC-VWLS,5.000e-15,1.00000000,1.00000000,1.00000000,0.97812500
MC-VWLS,1.000e-14,1.00000000,0.99937500,1.00000000,0.99187500
MC-VWLS,2.500e-14,1.00000000,0.99687500,0.90500000,0.67875000
MC-VWLS,5.000e-14,0.99875000,0.93937500,0.67125000,0.08812500
MC-VWLS,1.000e-13,1.00000000,0.61937500,0.07750000,0.19250000
