topological_charge_abs,accuracy,accuracy_percent,samples
0,0.888095238095238,88.80952380952381,420
1,0.8547619047619047,85.47619047619047,420
2,0.8214285714285714,82.14285714285714,420
3,0.8547619047619047,85.47619047619047,420
4,0.780952380952381,78.0952380952381,420
5,0.75,75.0,420
6,0.7476190476190476,74.76190476190476,420
7,0.7142857142857143,71.42857142857143,420
8,0.6404761904761904,64.04761904761904,420
9,0.6142857142857143,61.42857142857143,420
10,0.7761904761904762,77.61904761904762,420
