topological_charge_abs,accuracy,accuracy_percent,samples
0,0.8285714285714286,82.85714285714286,420
1,0.8047619047619048,80.47619047619048,420
2,0.7785714285714286,77.85714285714286,420
3,0.780952380952381,78.0952380952381,420
4,0.6833333333333333,68.33333333333333,420
5,0.580952380952381,58.0952380952381,420
6,0.49047619047619045,49.047619047619044,420
7,0.4666666666666667,46.666666666666664,420
8,0.5357142857142857,53.57142857142857,420
9,0.4380952380952381,43.80952380952381,420
10,0.6190476190476191,61.904761904761905,420
