topological_charge_abs,accuracy,accuracy_percent,samples
0,0.85,85.0,420
1,0.8785714285714286,87.85714285714286,420
2,0.8476190476190476,84.76190476190476,420
3,0.8690476190476191,86.90476190476191,420
4,0.7976190476190477,79.76190476190477,420
5,0.7595238095238095,75.95238095238095,420
6,0.6571428571428571,65.71428571428571,420
7,0.6095238095238096,60.952380952380956,420
8,0.6166666666666667,61.66666666666667,420
9,0.48333333333333334,48.333333333333336,420
10,0.8690476190476191,86.90476190476191,420
