|l|,ResNet-50,Swin-T,SAM3 baseline,SE-SAM3 (Ours)
0,88.80952380952381,85.0,82.85714285714286,88.80952380952381
1,85.47619047619047,87.85714285714286,80.47619047619048,83.57142857142857
2,82.14285714285714,84.76190476190476,77.85714285714286,85.95238095238096
3,85.47619047619047,86.90476190476191,78.0952380952381,86.90476190476191
4,78.0952380952381,79.76190476190477,68.33333333333333,78.33333333333333
5,75.0,75.95238095238095,58.0952380952381,85.23809523809524
6,74.76190476190476,65.71428571428571,49.04761904761904,78.0952380952381
7,71.42857142857143,60.95238095238096,46.66666666666666,75.23809523809524
8,64.04761904761904,61.66666666666667,53.57142857142857,80.23809523809524
9,61.42857142857143,48.333333333333336,43.80952380952381,69.76190476190476
10,77.61904761904762,86.90476190476191,61.90476190476191,80.0
